videoId,title,publishedAt,playlistId,esquema
W_IayCVRusI, Resumen y cartilla de función racional MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
K0RaTTERYsQ, Resumen y cartilla de intervalos MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
J7OmQk28IHs, Resumen y cartilla de razón MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
9IjEpm7I-Dk, Resumen y cartilla de función cúbica MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
ak9iw80MBdA, Discusión resumen y cartilla MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
tTFG2hqYKaI, Resumen y cartilla de sucesiones aritméticas MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
HuvurnDg7Nc, Resumen y cartilla de interés compuesto MAD4, 2017-11-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
Dir1Wkl2jkE, Resumen y cartilla: distancia entre puntos, 2017-12-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
mHNIJtPCC9g, Resumen y cartilla: función lineal, 2017-12-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
ZsH5l0kqZ3A, Resumen y cartilla: espacios muestrales, 2017-12-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
PN3lBa6piFM, Resumen y cartilla: probabilidad condicional, 2017-12-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
iU746D2ygh4, Resumen y cartilla: función exponencial, 2017-12-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
V1vdr6-90tg, Resumen y cartilla: principio multiplicación, 2017-12-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
3bfEDKqP44w, Resumen y cartilla: áreas de polígonos, 2018-01-16, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,6
rydKqRj9bdw, Resumen y cartilla: cuadrado del binomio, 2018-01-16, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,6
xfW3L_njKhs, Resumen y cartilla: permutaciones, 2018-01-16, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,6
zvgTqNEyvkc, Resumen y cartilla: idea intuitiva de límite, 2018-01-16, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,6
jDj9IYIVaMM, Resumen y cartilla: área región sombreada, 2018-01-16, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,6
-TLuI3esqcs, Resumen y cartilla: números enteros, 2018-01-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
ZCKn2jrxr1c, Resumen y cartilla: ecuaciones lineales, 2018-01-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
c5pzfdQfg9c, Resumen y cartilla: razones trigonométricas, 2018-01-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
ljtktwvcPwY, Resumen y cartilla: números enteros, 2018-01-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
tiEoDpXBuGU, Resumen y cartilla: ecuaciones lineales, 2018-01-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
ywf0dkM38u0, Resumen y cartilla: sistemas de ecuaciones, 2018-01-19, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
m7IxavKvX5M, Resumen y cartilla: rotación, 2018-04-09, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,9
IV8StST22nU, Resumen y cartilla: razones trigonométricas, 2018-04-10, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,0
EoKX1ota0U0, Resumen y cartilla: ecuaciones cuadráticas, 2018-04-28, PLgESRxNhytd4-Dq4jPC58WO9tL-u6urtA,8
